"Título de trazado: ASA_01_SO_01"
"N.º","Fecha Tiempo, GMT-05:00","Pres abs, psi (LGR S/N: 22034869, SEN S/N: 22034869)","Temp, °F (LGR S/N: 22034869, SEN S/N: 22034869)","Pres abs Barom., psi (LGR S/N: 21981564, SEN S/N: 21981564)","Profundidad de sensor, pies (LGR S/N: 22034869)","Acoplador separado (LGR S/N: 22034869)","Acoplador adjunto (LGR S/N: 22034869)","Host conectado (LGR S/N: 22034869)","Final de archivo (LGR S/N: 22034869)"
1140,10/02/25 09:40:00 AM,8.3729,39.947,8.3620,0.025,,,,
1141,10/02/25 09:45:00 AM,8.3729,39.947,8.3620,0.025,,,,
1142,10/02/25 09:50:00 AM,8.3729,39.947,8.3620,0.025,,,,
1143,10/02/25 09:55:00 AM,8.3729,39.947,8.3646,0.019,,,,
1144,10/02/25 10:00:00 AM,8.3706,39.947,8.3613,0.021,,,,
1145,10/02/25 10:05:00 AM,8.3729,39.947,8.3622,0.025,,,,
1146,10/02/25 10:10:00 AM,8.3729,39.947,8.3622,0.025,,,,
1147,10/02/25 10:15:00 AM,8.3706,39.947,8.3632,0.017,,,,
1148,10/02/25 10:20:00 AM,8.3729,39.947,8.3648,0.019,,,,
1149,10/02/25 10:25:00 AM,8.3706,39.947,8.3632,0.017,,,,
1150,10/02/25 10:30:00 AM,8.3682,39.947,8.3614,0.016,,,,
1151,10/02/25 10:35:00 AM,8.3706,39.947,8.3607,0.023,,,,
1152,10/02/25 10:40:00 AM,8.3706,39.947,8.3590,0.027,,,,
1153,10/02/25 10:45:00 AM,8.3682,39.947,8.3607,0.017,,,,
1154,10/02/25 10:50:00 AM,8.3706,39.947,8.3616,0.021,,,,
1155,10/02/25 10:55:00 AM,8.3706,39.947,8.3616,0.021,,,,
1156,10/02/25 11:00:00 AM,8.3706,39.947,8.3600,0.024,,,,
1157,10/02/25 11:05:00 AM,8.3706,39.947,8.3616,0.021,,,,
1158,10/02/25 11:10:00 AM,8.3682,39.947,8.3616,0.015,,,,
1159,10/02/25 11:15:00 AM,8.3713,40.134,8.3624,0.020,,,,
1160,10/02/25 11:20:00 AM,8.3713,40.134,8.3591,0.028,,,,
1161,10/02/25 11:25:00 AM,8.3690,40.134,8.3601,0.020,,,,
1162,10/02/25 11:30:00 AM,8.3713,40.134,8.3593,0.028,,,,
1163,10/02/25 11:35:00 AM,8.3690,40.134,8.3593,0.022,,,,
1164,10/02/25 11:40:00 AM,8.3690,40.134,8.3568,0.028,,,,
1165,10/02/25 11:45:00 AM,8.3690,40.134,8.3545,0.033,,,,
1166,10/02/25 11:50:00 AM,8.3690,40.134,8.3561,0.030,,,,
1167,10/02/25 11:55:00 AM,8.3690,40.134,8.3553,0.031,,,,
1168,10/02/25 12:00:00 PM,8.3666,40.134,8.3562,0.024,,,,
1169,10/02/25 12:05:00 PM,8.3666,40.134,8.3555,0.026,,,,
1170,10/02/25 12:10:00 PM,8.3643,40.134,8.3530,0.026,,,,
1171,10/02/25 12:15:00 PM,8.3666,40.134,8.3572,0.022,,,,
1172,10/02/25 12:20:00 PM,8.3666,40.134,8.3548,0.027,,,,
1173,10/02/25 12:25:00 PM,8.3666,40.134,8.3548,0.027,,,,
1174,10/02/25 12:30:00 PM,8.3690,40.134,8.3539,0.035,,,,
1175,10/02/25 12:35:00 PM,8.3643,40.134,8.3532,0.026,,,,
1176,10/02/25 12:40:00 PM,8.3643,40.134,8.3523,0.028,,,,
1177,10/02/25 12:45:00 PM,8.3643,40.134,8.3532,0.026,,,,
1178,10/02/25 12:50:00 PM,8.3620,40.134,8.3524,0.022,,,,
1179,10/02/25 12:55:00 PM,8.3643,40.134,8.3507,0.031,,,,
1180,10/02/25 01:00:00 PM,8.3620,40.134,8.3500,0.028,,,,
1181,10/02/25 01:05:00 PM,8.3620,40.134,8.3524,0.022,,,,
1182,10/02/25 01:10:00 PM,8.3620,40.134,8.3508,0.026,,,,
1183,10/02/25 01:15:00 PM,8.3597,40.134,8.3533,0.015,,,,
1184,10/02/25 01:20:00 PM,8.3597,40.134,8.3526,0.016,,,,
1185,10/02/25 01:25:00 PM,8.3597,40.134,8.3534,0.014,,,,
1186,10/02/25 01:30:00 PM,8.3597,40.134,8.3526,0.016,,,,
1187,10/02/25 01:35:00 PM,8.3579,40.321,8.3500,0.018,,,,
1188,10/02/25 01:40:00 PM,8.3603,40.321,8.3492,0.025,,,,
1189,10/02/25 01:45:00 PM,8.3603,40.321,8.3492,0.025,,,,
1190,10/02/25 01:50:00 PM,8.3579,40.321,8.3500,0.018,,,,
1191,10/02/25 01:55:00 PM,8.3579,40.321,8.3526,0.012,,,,
1192,10/02/25 02:00:00 PM,8.3579,40.321,8.3500,0.018,,,,
1193,10/02/25 02:05:00 PM,8.3556,40.321,8.3484,0.017,,,,
1194,10/02/25 02:10:00 PM,8.3579,40.321,8.3542,0.009,,,,
1195,10/02/25 02:15:00 PM,8.3556,40.321,8.3508,0.011,,,,
1196,10/02/25 02:20:00 PM,8.3579,40.321,8.3491,0.020,,,,
1197,10/02/25 02:25:00 PM,8.3556,40.321,8.3517,0.009,,,,
1198,10/02/25 02:30:00 PM,8.3556,40.321,8.3500,0.013,,,,
1199,10/02/25 02:35:00 PM,8.3533,40.321,8.3508,0.006,,,,
1200,10/02/25 02:40:00 PM,8.3556,40.321,8.3475,0.019,,,,
1201,10/02/25 02:45:00 PM,8.3556,40.321,8.3491,0.015,,,,
1202,10/02/25 02:50:00 PM,8.3556,40.321,8.3475,0.019,,,,
1203,10/02/25 02:55:00 PM,8.3556,40.321,8.3491,0.015,,,,
1204,10/02/25 03:00:00 PM,8.3556,40.321,8.3475,0.019,,,,
1205,10/02/25 03:05:00 PM,8.3533,40.321,8.3500,0.008,,,,
1206,10/02/25 03:10:00 PM,8.3533,40.321,8.3492,0.009,,,,
1207,10/02/25 03:15:00 PM,8.3510,40.321,8.3484,0.006,,,,
1208,10/02/25 03:20:00 PM,8.3510,40.321,8.3500,0.002,,,,
1209,10/02/25 03:25:00 PM,8.3510,40.321,8.3475,0.008,,,,
1210,10/02/25 03:30:00 PM,8.3487,40.321,8.3475,0.003,,,,
1211,10/02/25 03:35:00 PM,8.3510,40.321,8.3500,0.002,,,,
1212,10/02/25 03:40:00 PM,8.3487,40.321,8.3492,-0.001,,,,
1213,10/02/25 03:45:00 PM,8.3487,40.321,8.3484,0.001,,,,
1214,10/02/25 03:50:00 PM,8.3487,40.321,8.3491,-0.001,,,,
1215,10/02/25 03:55:00 PM,8.3487,40.321,8.3491,-0.001,,,,
1216,10/02/25 04:00:00 PM,8.3487,40.321,8.3474,0.003,,,,
1217,10/02/25 04:05:00 PM,8.3487,40.321,8.3491,-0.001,,,,
1218,10/02/25 04:10:00 PM,8.3487,40.321,8.3456,0.007,,,,
1219,10/02/25 04:15:00 PM,8.3510,40.321,8.3498,0.003,,,,
1220,10/02/25 04:20:00 PM,8.3510,40.321,8.3463,0.011,,,,
1221,10/02/25 04:25:00 PM,8.3487,40.321,8.3471,0.004,,,,
1222,10/02/25 04:30:00 PM,8.3510,40.321,8.3487,0.005,,,,
1223,10/02/25 04:35:00 PM,8.3487,40.321,8.3475,0.003,,,,
1224,10/02/25 04:40:00 PM,8.3533,40.321,8.3482,0.012,,,,
1225,10/02/25 04:45:00 PM,8.3510,40.321,8.3478,0.007,,,,
1226,10/02/25 04:50:00 PM,8.3510,40.321,8.3447,0.014,,,,
1227,10/02/25 04:55:00 PM,8.3510,40.321,8.3433,0.018,,,,
1228,10/02/25 05:00:00 PM,8.3533,40.321,8.3452,0.019,,,,
1229,10/02/25 05:05:00 PM,8.3510,40.321,8.3418,0.021,,,,
1230,10/02/25 05:10:00 PM,8.3510,40.321,8.3429,0.019,,,,
1231,10/02/25 05:15:00 PM,8.3510,40.321,8.3411,0.023,,,,
1232,10/02/25 05:20:00 PM,8.3510,40.321,8.3403,0.025,,,,
1233,10/02/25 05:25:00 PM,8.3533,40.321,8.3421,0.026,,,,
1234,10/02/25 05:30:00 PM,8.3510,40.321,8.3379,0.030,,,,
1235,10/02/25 05:35:00 PM,8.3510,40.321,8.3379,0.030,,,,
1236,10/02/25 05:40:00 PM,8.3510,40.321,8.3379,0.030,,,,
1237,10/02/25 05:45:00 PM,8.3487,40.321,8.3375,0.026,,,,
1238,10/02/25 05:50:00 PM,8.3510,40.321,8.3358,0.035,,,,
1239,10/02/25 05:55:00 PM,8.3527,40.134,8.3369,0.036,,,,
1240,10/02/25 06:00:00 PM,8.3527,40.134,8.3350,0.041,,,,
1241,10/02/25 06:05:00 PM,8.3504,40.134,8.3344,0.037,,,,
1242,10/02/25 06:10:00 PM,8.3527,40.134,8.3339,0.043,,,,
1243,10/02/25 06:15:00 PM,8.3527,40.134,8.3394,0.031,,,,
1244,10/02/25 06:20:00 PM,8.3527,40.134,8.3353,0.040,,,,
1245,10/02/25 06:25:00 PM,8.3550,40.134,8.3346,0.047,,,,
1246,10/02/25 06:30:00 PM,8.3550,40.134,8.3368,0.042,,,,
1247,10/02/25 06:35:00 PM,8.3574,40.134,8.3355,0.051,,,,
1248,10/02/25 06:40:00 PM,8.3527,40.134,8.3331,0.045,,,,
1249,10/02/25 06:45:00 PM,8.3574,40.134,8.3352,0.051,,,,
1250,10/02/25 06:50:00 PM,8.3574,40.134,8.3340,0.054,,,,
1251,10/02/25 06:55:00 PM,8.3550,40.134,8.3329,0.051,,,,
1252,10/02/25 07:00:00 PM,8.3574,40.134,8.3333,0.056,,,,
1253,10/02/25 07:05:00 PM,8.3550,40.134,8.3337,0.049,,,,
1254,10/02/25 07:10:00 PM,8.3550,40.134,8.3324,0.052,,,,
1255,10/02/25 07:15:00 PM,8.3574,40.134,8.3295,0.064,,,,
1256,10/02/25 07:20:00 PM,8.3574,40.134,8.3300,0.063,,,,
1257,10/02/25 07:25:00 PM,8.3597,40.134,8.3333,0.061,,,,
1258,10/02/25 07:30:00 PM,8.3597,40.134,8.3286,0.072,,,,
1259,10/02/25 07:35:00 PM,8.3590,39.947,8.3320,0.062,,,,
1260,10/02/25 07:40:00 PM,8.3613,39.947,8.3320,0.068,,,,
1261,10/02/25 07:45:00 PM,8.3613,39.947,8.3337,0.064,,,,
1262,10/02/25 07:50:00 PM,8.3613,39.947,8.3320,0.068,,,,
1263,10/02/25 07:55:00 PM,8.3613,39.947,8.3308,0.070,,,,
1264,10/02/25 08:00:00 PM,8.3613,39.947,8.3324,0.067,,,,
1265,10/02/25 08:05:00 PM,8.3636,39.947,8.3358,0.064,,,,
1266,10/02/25 08:10:00 PM,8.3613,39.947,8.3344,0.062,,,,
1267,10/02/25 08:15:00 PM,8.3636,39.947,8.3333,0.070,,,,
1268,10/02/25 08:20:00 PM,8.3590,39.947,8.3320,0.062,,,,
1269,10/02/25 08:25:00 PM,8.3613,39.947,8.3340,0.063,,,,
1270,10/02/25 08:30:00 PM,8.3613,39.947,8.3327,0.066,,,,
1271,10/02/25 08:35:00 PM,8.3636,39.947,8.3347,0.067,,,,
1272,10/02/25 08:40:00 PM,8.3636,39.947,8.3352,0.066,,,,
1273,10/02/25 08:45:00 PM,8.3636,39.947,8.3334,0.070,,,,
1274,10/02/25 08:50:00 PM,8.3636,39.947,8.3339,0.069,,,,
1275,10/02/25 08:55:00 PM,8.3636,39.947,8.3342,0.068,,,,
1276,10/02/25 09:00:00 PM,8.3659,39.947,8.3359,0.069,,,,
1277,10/02/25 09:05:00 PM,8.3659,39.947,8.3329,0.076,,,,
1278,10/02/25 09:10:00 PM,8.3659,39.947,8.3344,0.073,,,,
1279,10/02/25 09:15:00 PM,8.3682,39.947,8.3349,0.077,,,,
1280,10/02/25 09:20:00 PM,8.3682,39.947,8.3352,0.076,,,,
1281,10/02/25 09:25:00 PM,8.3653,39.760,8.3321,0.077,,,,
1282,10/02/25 09:30:00 PM,8.3630,39.760,8.3339,0.067,,,,
1283,10/02/25 09:35:00 PM,8.3607,39.760,8.3326,0.065,,,,
1284,10/02/25 09:40:00 PM,8.3630,39.760,8.3295,0.077,,,,
1285,10/02/25 09:45:00 PM,8.3653,39.760,8.3311,0.079,,,,
1286,10/02/25 09:50:00 PM,8.3653,39.760,8.3315,0.078,,,,
1287,10/02/25 09:55:00 PM,8.3630,39.760,8.3298,0.077,,,,
1288,10/02/25 10:00:00 PM,8.3607,39.760,8.3315,0.067,,,,
1289,10/02/25 10:05:00 PM,8.3630,39.760,8.3301,0.076,,,,
1290,10/02/25 10:10:00 PM,8.3607,39.760,8.3301,0.071,,,,
1291,10/02/25 10:15:00 PM,8.3630,39.760,8.3318,0.072,,,,
1292,10/02/25 10:20:00 PM,8.3630,39.760,8.3288,0.079,,,,
1293,10/02/25 10:25:00 PM,8.3607,39.760,8.3304,0.070,,,,
1294,10/02/25 10:30:00 PM,8.3607,39.760,8.3291,0.073,,,,
1295,10/02/25 10:35:00 PM,8.3607,39.760,8.3291,0.073,,,,
1296,10/02/25 10:40:00 PM,8.3607,39.760,8.3276,0.076,,,,
1297,10/02/25 10:45:00 PM,8.3607,39.760,8.3276,0.076,,,,
1298,10/02/25 10:50:00 PM,8.3630,39.760,8.3276,0.082,,,,
1299,10/02/25 10:55:00 PM,8.3607,39.760,8.3246,0.083,,,,
1300,10/02/25 11:00:00 PM,8.3607,39.760,8.3263,0.079,,,,
1301,10/02/25 11:05:00 PM,8.3577,39.573,8.3263,0.072,,,,
1302,10/02/25 11:10:00 PM,8.3600,39.573,8.3249,0.081,,,,
1303,10/02/25 11:15:00 PM,8.3600,39.573,8.3249,0.081,,,,
1304,10/02/25 11:20:00 PM,8.3577,39.573,8.3252,0.075,,,,
1305,10/02/25 11:25:00 PM,8.3577,39.573,8.3252,0.075,,,,
1306,10/02/25 11:30:00 PM,8.3577,39.573,8.3255,0.074,,,,
1307,10/02/25 11:35:00 PM,8.3600,39.573,8.3237,0.084,,,,
1308,10/02/25 11:40:00 PM,8.3600,39.573,8.3224,0.087,,,,
1309,10/02/25 11:45:00 PM,8.3577,39.573,8.3207,0.085,,,,
1310,10/02/25 11:50:00 PM,8.3577,39.573,8.3210,0.085,,,,
1311,10/02/25 11:55:00 PM,8.3577,39.573,8.3210,0.085,,,,
1312,10/03/25 12:00:00 AM,8.3577,39.573,8.3210,0.085,,,,
1313,10/03/25 12:05:00 AM,8.3577,39.573,8.3228,0.080,,,,
1314,10/03/25 12:10:00 AM,8.3553,39.573,8.3195,0.083,,,,
1315,10/03/25 12:15:00 AM,8.3553,39.573,8.3211,0.079,,,,
1316,10/03/25 12:20:00 AM,8.3553,39.573,8.3181,0.086,,,,
1317,10/03/25 12:25:00 AM,8.3553,39.573,8.3198,0.082,,,,
1318,10/03/25 12:30:00 AM,8.3530,39.573,8.3198,0.077,,,,
1319,10/03/25 12:35:00 AM,8.3553,39.573,8.3183,0.085,,,,
1320,10/03/25 12:40:00 AM,8.3530,39.573,8.3150,0.088,,,,
1321,10/03/25 12:45:00 AM,8.3507,39.573,8.3166,0.079,,,,
1322,10/03/25 12:50:00 AM,8.3530,39.573,8.3152,0.087,,,,
1323,10/03/25 12:55:00 AM,8.3530,39.573,8.3152,0.087,,,,
1324,10/03/25 01:00:00 AM,8.3530,39.573,8.3169,0.083,,,,
1325,10/03/25 01:05:00 AM,8.3507,39.573,8.3152,0.082,,,,
1326,10/03/25 01:10:00 AM,8.3484,39.573,8.3152,0.077,,,,
1327,10/03/25 01:15:00 AM,8.3500,39.384,8.3152,0.080,,,,
1328,10/03/25 01:20:00 AM,8.3500,39.384,8.3152,0.080,,,,
1329,10/03/25 01:25:00 AM,8.3500,39.384,8.3152,0.080,,,,
1330,10/03/25 01:30:00 AM,8.3476,39.384,8.3152,0.075,,,,
1331,10/03/25 01:35:00 AM,8.3476,39.384,8.3133,0.079,,,,
1332,10/03/25 01:40:00 AM,8.3453,39.384,8.3150,0.070,,,,
1333,10/03/25 01:45:00 AM,8.3453,39.384,8.3133,0.074,,,,
1334,10/03/25 01:50:00 AM,8.3453,39.384,8.3117,0.078,,,,
1335,10/03/25 01:55:00 AM,8.3453,39.384,8.3117,0.078,,,,
1336,10/03/25 02:00:00 AM,8.3453,39.384,8.3102,0.081,,,,
1337,10/03/25 02:05:00 AM,8.3453,39.384,8.3102,0.081,,,,
1338,10/03/25 02:10:00 AM,8.3453,39.384,8.3102,0.081,,,,
1339,10/03/25 02:15:00 AM,8.3430,39.384,8.3088,0.079,,,,
1340,10/03/25 02:20:00 AM,8.3430,39.384,8.3104,0.075,,,,
1341,10/03/25 02:25:00 AM,8.3453,39.384,8.3070,0.088,,,,
1342,10/03/25 02:30:00 AM,8.3430,39.384,8.3088,0.079,,,,
1343,10/03/25 02:35:00 AM,8.3430,39.384,8.3073,0.082,,,,
1344,10/03/25 02:40:00 AM,8.3430,39.384,8.3040,0.090,,,,
1345,10/03/25 02:45:00 AM,8.3430,39.384,8.3040,0.090,,,,
1346,10/03/25 02:50:00 AM,8.3430,39.384,8.3056,0.086,,,,
1347,10/03/25 02:55:00 AM,8.3453,39.384,8.3041,0.095,,,,
1348,10/03/25 03:00:00 AM,8.3430,39.384,8.3041,0.090,,,,
1349,10/03/25 03:05:00 AM,8.3407,39.384,8.3041,0.084,,,,
1350,10/03/25 03:10:00 AM,8.3407,39.384,8.3041,0.084,,,,
1351,10/03/25 03:15:00 AM,8.3384,39.384,8.3027,0.082,,,,
1352,10/03/25 03:20:00 AM,8.3407,39.384,8.3011,0.091,,,,
1353,10/03/25 03:25:00 AM,8.3407,39.384,8.3027,0.088,,,,
1354,10/03/25 03:30:00 AM,8.3407,39.384,8.3012,0.091,,,,
1355,10/03/25 03:35:00 AM,8.3407,39.384,8.3028,0.087,,,,
1356,10/03/25 03:40:00 AM,8.3407,39.384,8.2995,0.095,,,,
1357,10/03/25 03:45:00 AM,8.3430,39.384,8.3012,0.096,,,,
1358,10/03/25 03:50:00 AM,8.3430,39.384,8.3028,0.093,,,,
1359,10/03/25 03:55:00 AM,8.3407,39.384,8.3012,0.091,,,,
1360,10/03/25 04:00:00 AM,8.3407,39.384,8.3027,0.088,,,,
1361,10/03/25 04:05:00 AM,8.3384,39.384,8.3044,0.078,,,,
1362,10/03/25 04:10:00 AM,8.3430,39.384,8.3011,0.097,,,,
1363,10/03/25 04:15:00 AM,8.3430,39.384,8.3044,0.089,,,,
1364,10/03/25 04:20:00 AM,8.3407,39.384,8.3062,0.080,,,,
1365,10/03/25 04:25:00 AM,8.3407,39.384,8.3028,0.087,,,,
1366,10/03/25 04:30:00 AM,8.3407,39.384,8.3046,0.083,,,,
1367,10/03/25 04:35:00 AM,8.3430,39.384,8.3046,0.089,,,,
1368,10/03/25 04:40:00 AM,8.3453,39.384,8.3031,0.097,,,,
1369,10/03/25 04:45:00 AM,8.3453,39.384,8.3031,0.097,,,,
1370,10/03/25 04:50:00 AM,8.3453,39.384,8.3033,0.097,,,,
1371,10/03/25 04:55:00 AM,8.3476,39.384,8.3015,0.106,,,,
1372,10/03/25 05:00:00 AM,8.3476,39.384,8.3034,0.102,,,,
1373,10/03/25 05:05:00 AM,8.3453,39.384,8.3050,0.093,,,,
1374,10/03/25 05:10:00 AM,8.3430,39.384,8.3050,0.088,,,,
1375,10/03/25 05:15:00 AM,8.3453,39.384,8.3067,0.089,,,,
1376,10/03/25 05:20:00 AM,8.3453,39.384,8.3067,0.089,,,,
1377,10/03/25 05:25:00 AM,8.3471,39.196,8.3034,0.101,,,,
1378,10/03/25 05:30:00 AM,8.3471,39.196,8.3067,0.093,,,,
1379,10/03/25 05:35:00 AM,8.3494,39.196,8.3050,0.102,,,,
1380,10/03/25 05:40:00 AM,8.3471,39.196,8.3066,0.093,,,,
1381,10/03/25 05:45:00 AM,8.3471,39.196,8.3082,0.090,,,,
1382,10/03/25 05:50:00 AM,8.3471,39.196,8.3082,0.090,,,,
1383,10/03/25 05:55:00 AM,8.3494,39.196,8.3082,0.095,,,,
1384,10/03/25 06:00:00 AM,8.3494,39.196,8.3082,0.095,,,,
1385,10/03/25 06:05:00 AM,8.3471,39.196,8.3081,0.090,,,,
1386,10/03/25 06:10:00 AM,8.3517,39.196,8.3096,0.097,,,,
1387,10/03/25 06:15:00 AM,8.3517,39.196,8.3112,0.093,,,,
1388,10/03/25 06:20:00 AM,8.3517,39.196,8.3112,0.093,,,,
1389,10/03/25 06:25:00 AM,8.3517,39.196,8.3110,0.094,,,,
1390,10/03/25 06:30:00 AM,8.3540,39.196,8.3156,0.089,,,,
1391,10/03/25 06:35:00 AM,8.3540,39.196,8.3165,0.087,,,,
1392,10/03/25 06:40:00 AM,8.3540,39.196,8.3188,0.081,,,,
1393,10/03/25 06:45:00 AM,8.3540,39.196,8.3224,0.073,,,,
1394,10/03/25 06:50:00 AM,8.3563,39.196,8.3292,0.063,,,,
1395,10/03/25 06:55:00 AM,8.3569,39.384,8.3292,0.064,,,,
1396,10/03/25 07:00:00 AM,8.3593,39.384,8.3323,0.062,,,,
1397,10/03/25 07:05:00 AM,8.3569,39.384,8.3349,0.051,,,,
1398,10/03/25 07:10:00 AM,8.3569,39.384,8.3378,0.044,,,,
1399,10/03/25 07:15:00 AM,8.3569,39.384,8.3368,0.047,,,,
1400,10/03/25 07:20:00 AM,8.3616,39.384,8.3394,0.051,,,,
1401,10/03/25 07:25:00 AM,8.3593,39.384,8.3429,0.038,,,,
1402,10/03/25 07:30:00 AM,8.3593,39.384,8.3452,0.032,,,,
1403,10/03/25 07:35:00 AM,8.3616,39.384,8.3491,0.029,,,,
1404,10/03/25 07:40:00 AM,8.3616,39.384,8.3495,0.028,,,,
1405,10/03/25 07:45:00 AM,8.3623,39.573,8.3505,0.027,,,,
1406,10/03/25 07:50:00 AM,8.3646,39.573,8.3514,0.030,,,,
1407,10/03/25 07:55:00 AM,8.3669,39.573,8.3539,0.030,,,,
1408,10/03/25 08:00:00 AM,8.3646,39.573,8.3536,0.025,,,,
1409,10/03/25 08:05:00 AM,8.3669,39.573,8.3584,0.020,,,,
1410,10/03/25 08:10:00 AM,8.3669,39.573,8.3569,0.023,,,,
1411,10/03/25 08:15:00 AM,8.3669,39.573,8.3579,0.021,,,,
1412,10/03/25 08:20:00 AM,8.3646,39.573,8.3600,0.011,,,,
1413,10/03/25 08:25:00 AM,8.3669,39.573,8.3610,0.014,,,,
1414,10/03/25 08:30:00 AM,8.3669,39.573,8.3603,0.015,,,,
1415,10/03/25 08:35:00 AM,8.3669,39.573,8.3603,0.015,,,,
1416,10/03/25 08:40:00 AM,8.3677,39.760,8.3629,0.011,,,,
1417,10/03/25 08:45:00 AM,8.3677,39.760,8.3623,0.012,,,,
1418,10/03/25 08:50:00 AM,8.3677,39.760,8.3632,0.010,,,,
1419,10/03/25 08:55:00 AM,8.3700,39.760,8.3624,0.017,,,,
1420,10/03/25 09:00:00 AM,8.3700,39.760,8.3642,0.013,,,,
1421,10/03/25 09:05:00 AM,8.3677,39.760,8.3635,0.010,,,,
1422,10/03/25 09:10:00 AM,8.3677,39.760,8.3627,0.011,,,,
1423,10/03/25 09:15:00 AM,8.3677,39.760,8.3645,0.007,,,,
1424,10/03/25 09:20:00 AM,8.3700,39.760,8.3637,0.014,,,,
1425,10/03/25 09:25:00 AM,8.3700,39.760,8.3620,0.018,,,,
1426,10/03/25 09:30:00 AM,8.3677,39.760,8.3620,0.013,,,,
1427,10/03/25 09:35:00 AM,8.3677,39.760,8.3630,0.011,,,,
1428,10/03/25 09:40:00 AM,8.3677,39.760,8.3648,0.007,,,,
1429,10/03/25 09:45:00 AM,8.3677,39.760,8.3648,0.007,,,,
1430,10/03/25 09:50:00 AM,8.3700,39.760,8.3613,0.020,,,,
1431,10/03/25 09:55:00 AM,8.3677,39.760,8.3613,0.015,,,,
1432,10/03/25 10:00:00 AM,8.3677,39.760,8.3630,0.011,,,,
1433,10/03/25 10:05:00 AM,8.3653,39.760,8.3613,0.009,,,,
1434,10/03/25 10:10:00 AM,8.3677,39.760,8.3597,0.018,,,,
1435,10/03/25 10:15:00 AM,8.3653,39.760,8.3597,0.013,,,,
1436,10/03/25 10:20:00 AM,8.3682,39.947,8.3640,0.010,,,,
1437,10/03/25 10:25:00 AM,8.3659,39.947,8.3606,0.012,,,,
1438,10/03/25 10:30:00 AM,8.3682,39.947,8.3623,0.014,,,,
1439,10/03/25 10:35:00 AM,8.3659,39.947,8.3616,0.010,,,,
1440,10/03/25 10:40:00 AM,8.3659,39.947,8.3598,0.014,,,,
1441,10/03/25 10:45:00 AM,8.3659,39.947,8.3598,0.014,,,,
1442,10/03/25 10:50:00 AM,8.3659,39.947,8.3582,0.018,,,,
1443,10/03/25 10:55:00 AM,8.3659,39.947,8.3575,0.019,,,,
1444,10/03/25 11:00:00 AM,8.3659,39.947,8.3591,0.016,,,,
1445,10/03/25 11:05:00 AM,8.3659,39.947,8.3601,0.013,,,,
1446,10/03/25 11:10:00 AM,8.3636,39.947,8.3594,0.010,,,,
1447,10/03/25 11:15:00 AM,8.3613,39.947,8.3594,0.004,,,,
1448,10/03/25 11:20:00 AM,8.3636,39.947,8.3603,0.008,,,,
1449,10/03/25 11:25:00 AM,8.3590,39.947,8.3569,0.005,,,,
1450,10/03/25 11:30:00 AM,8.3613,39.947,8.3579,0.008,,,,
1451,10/03/25 11:35:00 AM,8.3613,39.947,8.3545,0.016,,,,
1452,10/03/25 11:40:00 AM,8.3590,39.947,8.3555,0.008,,,,
1453,10/03/25 11:45:00 AM,8.3590,39.947,8.3556,0.008,,,,
1454,10/03/25 11:50:00 AM,8.3566,39.947,8.3532,0.008,,,,
1455,10/03/25 11:55:00 AM,8.3590,39.947,8.3549,0.009,,,,
1456,10/03/25 12:00:00 PM,8.3590,39.947,8.3558,0.007,,,,
1457,10/03/25 12:05:00 PM,8.3590,39.947,8.3533,0.013,,,,
1458,10/03/25 12:10:00 PM,8.3566,39.947,8.3533,0.008,,,,
1459,10/03/25 12:15:00 PM,8.3566,39.947,8.3526,0.009,,,,
1460,10/03/25 12:20:00 PM,8.3566,39.947,8.3526,0.009,,,,
1461,10/03/25 12:25:00 PM,8.3543,39.947,8.3501,0.010,,,,
1462,10/03/25 12:30:00 PM,8.3543,39.947,8.3485,0.013,,,,
1463,10/03/25 12:35:00 PM,8.3543,39.947,8.3494,0.011,,,,
1464,10/03/25 12:40:00 PM,8.3520,39.947,8.3469,0.012,,,,
1465,10/03/25 12:45:00 PM,8.3543,39.947,8.3445,0.023,,,,
1466,10/03/25 12:50:00 PM,8.3520,39.947,8.3471,0.011,,,,
1467,10/03/25 12:55:00 PM,8.3527,40.134,8.3479,0.011,,,,
1468,10/03/25 01:00:00 PM,8.3527,40.134,8.3455,0.017,,,,
1469,10/03/25 01:05:00 PM,8.3504,40.134,8.3455,0.011,,,,
1470,10/03/25 01:10:00 PM,8.3504,40.134,8.3446,0.013,,,,
1471,10/03/25 01:15:00 PM,8.3504,40.134,8.3455,0.011,,,,
1472,10/03/25 01:20:00 PM,8.3481,40.134,8.3472,0.002,,,,
1473,10/03/25 01:25:00 PM,8.3481,40.134,8.3430,0.012,,,,
1474,10/03/25 01:30:00 PM,8.3481,40.134,8.3414,0.015,,,,
1475,10/03/25 01:35:00 PM,8.3481,40.134,8.3423,0.013,,,,
1476,10/03/25 01:40:00 PM,8.3458,40.134,8.3439,0.004,,,,
1477,10/03/25 01:45:00 PM,8.3458,40.134,8.3423,0.008,,,,
1478,10/03/25 01:50:00 PM,8.3458,40.134,8.3405,0.012,,,,
1479,10/03/25 01:55:00 PM,8.3481,40.134,8.3423,0.013,,,,
1480,10/03/25 02:00:00 PM,8.3481,40.134,8.3423,0.013,,,,
1481,10/03/25 02:05:00 PM,8.3481,40.134,8.3405,0.017,,,,
1482,10/03/25 02:10:00 PM,8.3433,40.134,8.3389,0.010,,,,
